categories,description,title,item_details
"[Homepage, Jewelry, Earrings, Hoop Earrings]","Red hoops
These fun and stylish red rhinestone crystal earrings with paved red crystals are a great statement piece! Pageant, prom, or bridal! 
Size of earrings: 2.5” inches long, 1” wide
colors available: red rhinestones
Style: Pierced and Clip On available. Just select preference under the ""Style"" Tab
more colors available upon request, just message us! 
looking for a matching bracelet to complete your look? check out this matching bracelet! :)
https://www.etsy.com/listing/684968474/red-bridal-bracelet-red-bracelet-red?ref=shop_home_active_36
https://www.etsy.com/listing/690755575/red-bracelet-red-rhinestone-bracelet-red?ref=shop_home_active_78&frs=1
https://www.etsy.com/listing/569699193/red-rhinestone-bracelet-red-stretch?ref=shop_home_active_58
Looking for the perfect pair of earrings for a special occasion. We specialize in custom work in fashion jewelry, pearls, and natural stones! Please feel free to browse through our other listings, and if you can't find what you are looking for just send us a message and will create the perfect piece for you.
jewelry.desertrosedesings.net
Expedited shipping available, just contact us!","Red hoop earrings, red sparkly hoops,red holiday hoops, red rhinestone hoops","[Made by   DesertRoseDesigns10, Gift wrapping available 
 
 
 See details 
 
 
 
 
 Gift wrapping by DesertRoseDesigns10 
 We will wrap your gift in seasonal wrapping paper with a fun ornament!
Birthday wrapping also available! Just leave us a note on comments :)]"
"[Homepage, Jewelry, Earrings, Hoop Earrings]",1 inch hoop earrings,"Rhinestone hoop earrings, small sparkly hoops, little girl hoop earrings","[""""Made by"""":""""Desert Rose Designs"""", """"Gift wrapping available"""":""""See details      Gift wrapping by DesertRoseDesigns10  We will wrap your gift in seasonal wrapping paper with a fun ornament!Birthday wrapping also available! Just leave us a note on comments  :)""""]"
"[Homepage, Jewelry, Earrings, Dangle & Drop Earrings]","These fun and stylish gold rhinestone crystal earrings are a great statement piece! Pageant, prom, or bridal!
Size of earrings: 0.75"" Wide and 2.75"" Long.
Color: Gold Rhinestones
Gold Base Metal
More colors available! Just send us a message!
Looking for a matching bracelet? Browse through our listings or send us a message! :)
https://www.etsy.com/listing/582568392/gold-bracelet-gold-rhinestone-bracelet?ref=shop_home_active_33
https://www.etsy.com/listing/592776278/gold-prom-bracelet-gold-rhinestone?ref=shop_home_active_4
Looking for the perfect pair of earrings for a special occasion. We specialize in custom work in fashion jewelry, pearls, and natural stones! Please feel free to browse through our other listings, and if you can't find what you are looking for just send us a message and will create the perfect piece for you.
jewelry.desertrosedesigns.net","Light gold rhinestone earrings,","[Made by   DesertRoseDesigns10, Location: Earlobe, Drop length: 2.75 Inches, Gift wrapping available 
 
 
 See details 
 
 
 
 
 Gift wrapping by DesertRoseDesigns10 
 We will wrap your gift in seasonal wrapping paper with a fun ornament!
Birthday wrapping also available! Just leave us a note on comments :)]"
"[Homepage, Jewelry, Earrings, Clip-On Earrings]","Large clip on earrings 
Size 1.75 inches long
Color: clear rhinestones 
Gold color base metal",Reserved listing- clip on large earrings,"[Closure: Clip-on, Gift wrapping available 
 
 
 See details 
 
 
 
 
 Gift wrapping by DesertRoseDesigns10 
 We will wrap your gift in seasonal wrapping paper with a fun ornament!
Birthday wrapping also available! Just leave us a note on comments :)]"
"[Homepage, Jewelry, Rings, Statement Rings]","Yellow ring extra large fun and stylish crystal rhinestone ring with large yellow rhinestone crystals. Oversized rhinestone ring, is a great statement piece! Pageant, prom, or stage! 
Size of Ring: 1.75 inch in diameter
Colors Available: yellow 
One Size: stretch band
More colors available upon request!
Looking for matching earrings?
https://www.etsy.com/listing/809083380/yellow-earrings-citrine-yellow-earrings?ga_search_query=Yellow&ref=shop_items_search_19&pro=1
https://www.etsy.com/listing/737812209/yellow-rhinestone-earrings-yellow?ga_search_query=Yellow&ref=shop_items_search_5&pro=1&frs=1
Looking for the perfect pair of earrings for a special occasion. We specialize in custom work in fashion jewelry, pearls, and natural stones! Please feel free to browse through our other listings, and if you can’t find what you are looking for just send us a message and will create the perfect piece for you.
jewelry.desertrosedesigns.net
Expedited shipping available, just contact us!","Yellow rhinestone ring, yellow statement ring, yellow oversized ring, yellow fitness competition ring","[Made by   DesertRoseDesigns10, Gift wrapping available 
 
 
 See details 
 
 
 
 
 Gift wrapping by DesertRoseDesigns10 
 We will wrap your gift in seasonal wrapping paper with a fun ornament!
Birthday wrapping also available! Just leave us a note on comments :)]"
"[Homepage, Jewelry, Earrings, Dangle & Drop Earrings]","Ab rhinestone earrings
These fun and stylish aurora borealis rhinestone earrings are a great accent piece! Pageant, prom, or bridal! 
Size of earrings: .80"" Wide and 3.25"" Long. 
colors available: AB / with silver base metal color
more colors available! please feel free to browse through our listings or message us!
looking for a bracelet to complete your look? check out this matching bracelet!
https://www.etsy.com/listing/1350022879/ab-rhinestone-bracelet?click_key=65305cfdf35c5369721c8610d231fbff87073589%3A1350022879&click_sum=d039432a&ga_search_query=ab%2Bbracelet&ref=shop_items_search_54&frs=1&sts=1
https://etsy.me/3laXeZO
https://www.etsy.com/listing/614635317/ab-bracelet-aurora-borealis-bracelet-ab?ref=shop_home_active_1
https://www.etsy.com/listing/549273546/ab-crystal-rhinestone-bracelet-ab?ref=shop_home_active_13
Looking for the perfect pair of earrings for a special occasion. We specialize in custom work in fashion jewelry, pearls, and natural stones! Please feel free to browse through our other listings, and if you can't find what you are looking for just send us a message and will create the perfect piece for you.
jewelry.desertrosedesings.net
Expedited shipping available, just contact us!","Iridescent crystal earrings, aurora borealis earrings","[Made by   DesertRoseDesigns10, Gift wrapping available 
 
 
 See details 
 
 
 
 
 Gift wrapping by DesertRoseDesigns10 
 We will wrap your gift in seasonal wrapping paper with a fun ornament!
Birthday wrapping also available! Just leave us a note on comments :)]"
"[Homepage, Accessories, Hair Accessories, Decorative Hair Combs]",fuchsia iridescent and clear crystal hair comb,fuchsia ab and crystal hair comb,"[Gift wrapping available 
 
 
 See details 
 
 
 
 
 Gift wrapping by DesertRoseDesigns10 
 We will wrap your gift in seasonal wrapping paper with a fun ornament!
Birthday wrapping also available! Just leave us a note on comments :)]"
"[Homepage, Jewelry, Earrings, Hoop Earrings]","These fun and stylish rhinestone royal blue rhinestone earrings are a great accent piece! Pageant, prom, or bridal! 
Size of earrings: 1.5 inches long
colors available: royal blue
Base metal color: gold
looking for a bracelet to complete your look? check out this matching bracelet! :)
https://www.etsy.com/listing/689548750/blue-bridal-bracelet-royal-blue-prom?ref=shop_home_active_27&frs=1
https://www.etsy.com/listing/594523565/blue-rhinestone-bracelet-royal-blue?ref=shop_home_active_35
https://www.etsy.com/listing/689547508/royal-blue-bracelet-blue-prom-bracelet?ref=shop_home_active_36
Looking for the perfect pair of earrings for a special occasion. We specialize in custom work in fashion jewelry, pearls, and natural stones! Please feel free to browse through our other listings, and if you can't find what you are looking for just send us a message and will create the perfect piece for you.
jewelry.desertrosedesings.net
Expedited shipping available, just contact us!","Royal blue hoops earrings, blue rhinestone hoops, blue holiday hoops, cobalt prom hoops, blue competition hoops","[Made by   DesertRoseDesigns10, Location: Earlobe, Closure: Latch back, Gift wrapping available 
 
 
 See details 
 
 
 
 
 Gift wrapping by DesertRoseDesigns10 
 We will wrap your gift in seasonal wrapping paper with a fun ornament!
Birthday wrapping also available! Just leave us a note on comments :)]"
"[Homepage, Jewelry, Jewelry Sets]","Crystal rhinestone necklace and earrings set
Great large rhinestone necklace and earrings set! Clear crystal rhinestones on necklace and earrings are a great statement piece! Pageant, prom, or bridal! 
Size of Necklace: 17"" with 2"" chain extender
Size of decor drop: 1""
Size of earrings: 1.6"" Long. 
Earrings Setting: Pierced and Clip on Available!
Color: clear rhinestones
Base color: gold
More colors available upon request, just message us!
Looking for a matching bracelet?
https://www.etsy.com/listing/586281881/bridal-crystal-rhinestone-bracelet?ref=shop_home_active_22&crt=1
https://www.etsy.com/listing/562121949/clear-rhinestone-bracelet-rhinestone?ref=shop_home_active_21
https://www.etsy.com/listing/569692815/rhinestone-stretch-bracelet-clear?ref=shop_home_active_20
Looking for the perfect pair of earrings for a special occasion. We specialize in custom work in fashion jewelry, pearls, and natural stones! Please feel free to browse through our other listings, and if you can't find what you are looking for just send us a message and will create the perfect piece for you.
jewelry.desertrosedesigns.net
Expedited shipping available, just contact us!","Crystal rhinestone on gold setting, rhinestone bridal necklace and earrings set, crystal gold wedding necklace","[Made by   DesertRoseDesigns10, Jewelry type: Earrings, Necklace, Jewelry style: Victorian, Gift wrapping available 
 
 
 See details 
 
 
 
 
 Gift wrapping by DesertRoseDesigns10 
 We will wrap your gift in seasonal wrapping paper with a fun ornament!
Birthday wrapping also available! Just leave us a note on comments :)]"
"[Homepage, Jewelry, Earrings]","These fun and stylish crystal rhinestone earrings are a great statement piece! Pageant, prom, or bridal! 
Size of earrings: 3.25"" Long. 
Looking for a matching bracelet? Check out our listings or send us a message!
https://www.etsy.com/listing/609148428/navy-bracelet-navy-crystal-rhinestone?ref=shop_home_active_6
https://www.etsy.com/listing/621706205/navy-bracelet-rhinestone-navy-bracelet?ref=shop_home_active_1
https://www.etsy.com/listing/662406132/navy-bracelet-navy-rhinestone-bracelet?ref=shop_home_active_3
Looking for the perfect pair of earrings for a special occasion. We specialize in custom work in fashion jewelry, pearls, and natural stones! Please feel free to browse through our other listings, and if you can't find what you are looking for just send us a message and will create the perfect piece for you.
www.desertrosedesigns.net
Expedited shipping available, just contact us!","navy earrings, navy dangle earrings, navy bridal earrings, navy and clear rhinestone earrings, navy prom earrings, dark blue earrings","[Made by   DesertRoseDesigns10, Earring location: Earlobe, Jewelry style: Art nouveau, Length: 3.25 Inches, Gift wrapping available 
 
 
 See details 
 
 
 
 
 Gift wrapping by DesertRoseDesigns10 
 We will wrap your gift in seasonal wrapping paper with a fun ornament!
Birthday wrapping also available! Just leave us a note on comments :)]"
